                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84962,                0.71888,                 1.2918,                0.97005,                      1,                  0.995,                0.90451,                0.53194,                0.33184,                0.98425,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.84356,                0.65603,                 1.2199,                0.97262,                      1,                  0.995,                0.90455,                0.52993,                0.32433,                0.98266,             2.8723e-05,             2.8723e-05,             2.8723e-05
                      3,                0.83103,                0.68242,                 1.2527,                 0.9722,                      1,                  0.995,                0.88854,                0.52746,                0.31812,                0.98001,             2.4293e-05,             2.4293e-05,             2.4293e-05
