                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89022,                  1.469,                 1.2781,                0.83302,                0.84222,                0.88666,                0.78166,                0.50568,                0.64534,                 1.0626,             0.00046346,             0.00046346,             0.00046346
                      2,                0.84558,                 1.0083,                 1.2386,                0.90897,                0.84489,                0.93693,                0.81711,                0.54347,                0.61185,                 1.0995,             0.00092118,             0.00092118,             0.00092118
                      3,                0.88342,                0.96414,                 1.2734,                0.90707,                  0.861,                0.94547,                0.77118,                0.70942,                0.67662,                 1.2175,                0.00136,                0.00136,                0.00136
                      4,                 0.8467,                0.90186,                 1.2312,                0.85474,                0.85167,                0.91664,                0.80375,                0.56727,                0.60693,                  1.105,              0.0013441,              0.0013441,              0.0013441
                      5,                0.83936,                0.89288,                 1.2316,                0.89441,                0.86973,                0.92607,                0.77879,                0.65864,                0.66712,                 1.1979,              0.0013441,              0.0013441,              0.0013441
                      6,                0.79147,                0.85803,                 1.1772,                0.89747,                0.90335,                0.92456,                0.81226,                0.60755,                0.60579,                 1.1237,              0.0013158,              0.0013158,              0.0013158
                      7,                 0.8068,                0.87601,                 1.1935,                0.86934,                0.87876,                0.93426,                0.79785,                0.63884,                0.65251,                 1.1275,              0.0012875,              0.0012875,              0.0012875
                      8,                0.81437,                 0.8401,                 1.2053,                0.89522,                0.90478,                0.93557,                 0.8094,                0.57719,                 0.6261,                 1.0826,              0.0012592,              0.0012592,              0.0012592
                      9,                0.79494,                0.79419,                 1.1878,                0.91734,                0.86667,                0.92318,                0.79853,                0.59441,                 0.7122,                 1.1099,              0.0012309,              0.0012309,              0.0012309
                     10,                0.79053,                0.79221,                 1.1923,                0.91893,                0.87971,                0.94366,                0.81078,                0.55331,                0.64177,                 1.0718,              0.0012026,              0.0012026,              0.0012026
                     11,                0.82131,                0.83751,                 1.2253,                0.91623,                0.88746,                0.94617,                0.82021,                0.58934,                0.61635,                 1.1166,              0.0011744,              0.0011744,              0.0011744
                     12,                0.75204,                0.77837,                 1.1594,                0.94623,                0.86914,                0.94627,                0.80501,                 0.5928,                0.55456,                 1.1042,              0.0011461,              0.0011461,              0.0011461
                     13,                 0.7811,                0.77755,                 1.1833,                0.94965,                0.87273,                0.93136,                0.77798,                0.64584,                0.62269,                 1.1384,              0.0011178,              0.0011178,              0.0011178
