                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                0.76804,                0.75652,                 1.1683,                0.95281,                0.89091,                0.94422,                0.83227,                0.53459,                 0.5119,                 1.0713,              0.0010895,              0.0010895,              0.0010895
                     15,                0.74053,                0.73462,                 1.1615,                0.93797,                0.88972,                0.95145,                0.84981,                0.53184,                0.53097,                 1.0608,              0.0010612,              0.0010612,              0.0010612
                     16,                0.75384,                0.75113,                 1.1541,                0.92931,                0.89051,                0.94643,                0.83771,                0.50964,                0.53258,                 1.0427,              0.0010329,              0.0010329,              0.0010329
                     17,                0.71472,                0.71322,                 1.1464,                0.92825,                0.89314,                0.94135,                0.83406,                0.52588,                0.55898,                 1.0551,              0.0010046,              0.0010046,              0.0010046
                     18,                0.71703,                0.69314,                 1.1474,                0.92829,                0.90303,                0.93879,                0.84739,                 0.5244,                0.52308,                 1.0718,             0.00097629,             0.00097629,             0.00097629
                     19,                0.72127,                0.70847,                 1.1544,                0.89454,                0.91386,                 0.9456,                0.84391,                 0.4983,                 0.4989,                 1.0295,               0.000948,               0.000948,               0.000948
                     20,                0.68484,                0.67806,                 1.1337,                0.88454,                0.91364,                0.94587,                0.82688,                0.50368,                0.55908,                 1.0505,              0.0009197,              0.0009197,              0.0009197
                     21,                0.69346,                0.66902,                 1.1345,                0.94248,                0.85758,                0.93817,                0.81833,                0.53822,                0.51934,                 1.0751,             0.00089141,             0.00089141,             0.00089141
                     22,                0.71596,                0.71444,                  1.168,                0.87572,                0.92979,                0.94405,                0.85547,                0.52744,                0.48255,                 1.0668,             0.00086312,             0.00086312,             0.00086312
                     23,                0.67366,                0.65161,                   1.12,                0.94385,                0.86818,                0.94679,                0.85803,                0.52814,                0.46399,                 1.0471,             0.00083482,             0.00083482,             0.00083482
                     24,                0.68081,                0.66746,                  1.103,                0.94305,                0.88407,                 0.9393,                0.82389,                0.56193,                0.51449,                 1.0948,             0.00080653,             0.00080653,             0.00080653
                     25,                0.66212,                0.65005,                  1.107,                 0.9244,                0.89857,                0.93217,                0.82764,                0.52617,                0.50846,                 1.0594,             0.00077823,             0.00077823,             0.00077823
                     26,                0.67012,                0.66031,                 1.1123,                0.94271,                0.85758,                0.93764,                0.81477,                0.59207,                0.52291,                  1.124,             0.00074994,             0.00074994,             0.00074994
                     27,                0.67143,                0.61497,                 1.1249,                0.92081,                0.89634,                0.94755,                0.83721,                 0.5515,                0.49038,                 1.0878,             0.00072164,             0.00072164,             0.00072164
                     28,                0.68469,                0.66699,                 1.1214,                0.94486,                0.89446,                0.93889,                0.83842,                0.52718,                0.51709,                 1.0719,             0.00069335,             0.00069335,             0.00069335
                     29,                 0.6704,                0.63444,                 1.1158,                0.90896,                0.92962,                0.94122,                 0.8375,                0.54641,                0.52168,                 1.0899,             0.00066506,             0.00066506,             0.00066506
                     30,                 0.6293,                0.59901,                 1.0779,                0.94342,                0.89299,                0.93942,                0.83292,                0.55553,                0.54809,                 1.0942,             0.00063676,             0.00063676,             0.00063676
                     31,                0.62684,                 0.6017,                 1.0844,                0.90781,                0.91096,                0.94939,                0.85013,                0.56785,                0.49693,                 1.0969,             0.00060847,             0.00060847,             0.00060847
                     32,                0.63311,                0.57579,                 1.0992,                0.94289,                0.88581,                0.95232,                0.84859,                0.54665,                0.50314,                 1.0965,             0.00058017,             0.00058017,             0.00058017
                     33,                0.61072,                0.57257,                 1.0757,                0.91851,                0.89697,                0.94761,                0.84813,                0.52182,                  0.466,                 1.0647,             0.00055188,             0.00055188,             0.00055188
                     34,                  0.626,                0.55547,                 1.0781,                0.95077,                0.87256,                0.94557,                0.85921,                 0.4871,                0.45719,                  1.028,             0.00052359,             0.00052359,             0.00052359
                     35,                0.61533,                 0.5489,                 1.0884,                0.93243,                0.87504,                0.93387,                0.83409,                0.55044,                0.50809,                 1.0873,             0.00049529,             0.00049529,             0.00049529
                     36,                0.62349,                0.58625,                 1.1055,                0.93712,                0.89091,                0.92844,                0.83358,                0.54145,                0.49792,                 1.0868,               0.000467,               0.000467,               0.000467
                     37,                0.61077,                0.55028,                 1.0869,                0.93901,                0.89154,                0.92761,                0.83241,                0.50763,                0.50066,                 1.0698,              0.0004387,              0.0004387,              0.0004387
                     38,                0.60166,                0.55971,                 1.0799,                0.92974,                0.87548,                0.92919,                0.83776,                0.51342,                0.49438,                 1.0693,             0.00041041,             0.00041041,             0.00041041
                     39,                0.61186,                0.53734,                  1.096,                0.89122,                0.91515,                0.93279,                 0.8376,                0.51047,                0.46357,                 1.0592,             0.00038211,             0.00038211,             0.00038211
                     40,                0.60654,                0.53401,                 1.0927,                0.93646,                 0.8875,                0.92969,                0.84765,                0.49852,                0.47472,                 1.0475,             0.00035382,             0.00035382,             0.00035382
                     41,                0.47844,                0.47413,                 1.0097,                 0.8967,                0.87877,                0.92726,                0.83472,                0.51002,                0.50584,                 1.0584,             0.00032553,             0.00032553,             0.00032553
                     42,                0.46283,                0.42189,                0.98557,                0.93022,                0.88445,                0.93048,                0.84048,                0.51314,                0.53397,                 1.0526,             0.00029723,             0.00029723,             0.00029723
                     43,                0.46511,                0.38813,                 1.0084,                0.89598,                0.89272,                 0.9342,                0.83847,                0.50937,                0.50431,                 1.0464,             0.00026894,             0.00026894,             0.00026894
                     44,                0.47225,                0.40183,                 1.0106,                0.91561,                0.86212,                0.92598,                0.84045,                0.47968,                0.48686,                 1.0213,             0.00024064,             0.00024064,             0.00024064
                     45,                0.44477,                0.37359,                0.97904,                0.91569,                0.88143,                0.92473,                 0.8347,                0.49124,                0.49319,                 1.0219,             0.00021235,             0.00021235,             0.00021235
                     46,                0.45091,                0.39669,                0.99095,                0.89784,                0.90191,                0.92356,                0.83522,                0.48559,                0.48134,                 1.0295,             0.00018406,             0.00018406,             0.00018406
                     47,                0.44267,                0.39948,                0.98889,                0.93543,                0.86891,                0.93309,                 0.8423,                0.47065,                0.46966,                 1.0221,             0.00015576,             0.00015576,             0.00015576
                     48,                 0.4363,                0.33708,                0.96408,                0.91671,                0.89929,                0.93048,                0.84647,                0.47161,                0.48027,                 1.0276,             0.00012747,             0.00012747,             0.00012747
                     49,                0.43712,                0.36108,                0.97329,                0.90247,                0.89949,                0.92893,                0.84565,                0.47162,                0.48151,                 1.0277,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.41054,                 0.3301,                0.97268,                0.94576,                0.87064,                0.92562,                0.84168,                0.48271,                0.48868,                 1.0333,             7.0878e-05,             7.0878e-05,             7.0878e-05
